iter	RMSE
0	6027.182829
1	5905.978375
2	5767.167124
3	5637.21938
4	5512.245122
5	5402.675114
6	5307.953746
7	5209.578923
8	5112.286509
9	5020.231278
10	4931.377941
11	4845.488499
12	4760.972152
13	4687.881574
14	4609.423835
15	4542.796141
16	4487.229851
17	4416.796978
18	4348.676247
19	4291.574506
20	4226.827249
21	4168.052516
22	4112.207359
23	4063.790927
24	4013.576394
25	3965.208291
26	3921.521782
27	3876.633763
28	3833.080426
29	3803.376924
30	3769.125301
31	3734.757569
32	3698.844133
33	3661.427811
34	3629.688181
35	3598.239509
36	3567.176321
37	3533.22295
38	3506.765087
39	3485.199305
40	3456.526835
41	3434.23324
42	3412.234476
43	3387.348108
44	3364.550714
45	3344.316725
46	3325.549013
47	3309.592923
48	3290.850482
49	3263.591427
50	3243.26765
51	3222.381806
52	3206.394103
53	3184.830983
54	3171.183933
55	3156.307204
56	3136.14731
57	3121.004406
58	3109.03213
59	3090.228319
60	3077.239499
61	3063.756114
62	3052.931866
63	3042.275373
64	3033.568282
65	3018.924465
66	3006.474948
67	2996.128693
68	2984.353849
69	2970.346029
70	2956.027358
71	2947.504162
72	2937.095734
73	2928.84564
74	2916.417953
75	2903.512503
76	2893.039456
77	2884.544647
78	2876.267366
79	2869.893005
80	2860.35209
81	2851.184969
82	2844.387103
83	2833.382695
84	2824.95157
85	2815.570527
86	2810.427471
87	2804.722676
88	2799.008176
89	2790.7304
90	2784.724704
91	2773.765999
92	2768.090424
93	2755.653337
94	2748.906126
95	2744.624944
96	2740.069984
97	2735.045968
98	2729.461044
99	2723.460192
100	2709.570369
101	2703.545655
102	2701.374242
103	2695.730967
104	2689.66667
105	2684.65068
106	2680.43458
107	2674.399905
108	2668.689813
109	2667.544113
110	2661.816429
111	2658.387376
112	2653.725795
113	2647.061156
114	2642.08995
115	2641.51458
116	2638.125669
117	2634.290161
118	2626.701677
119	2621.472341
120	2611.362795
121	2607.228342
122	2601.499809
123	2595.868248
124	2586.120904
125	2582.357188
126	2575.12438
127	2570.535246
128	2566.628704
129	2562.10834
130	2558.10055
131	2554.302498
132	2552.029037
133	2547.580387
134	2538.747085
135	2532.021329
136	2528.312889
137	2525.199476
138	2518.406599
139	2513.081379
140	2503.721428
141	2502.156794
142	2498.138719
143	2496.51522
144	2494.207743
145	2491.840319
146	2489.22694
147	2484.54299
148	2484.230946
149	2479.55782
150	2475.989169
151	2468.064218
152	2465.752025
153	2462.982349
154	2459.288587
155	2455.758959
156	2452.200792
157	2446.620849
158	2441.25188
159	2437.564041
160	2433.928423
161	2425.795545
162	2423.105069
163	2419.400598
164	2415.406041
165	2411.437067
166	2408.243622
167	2406.026282
168	2397.628691
169	2395.051685
170	2390.113498
171	2389.907544
172	2384.467714
173	2381.375028
174	2378.899288
175	2375.244081
176	2369.648134
177	2367.238821
178	2363.218766
179	2361.075247
180	2358.69884
181	2355.606393
182	2352.551106
183	2346.543234
184	2344.267109
185	2340.094491
186	2339.024957
187	2334.877924
188	2329.966665
189	2325.858368
190	2320.28455
191	2318.023147
192	2314.096505
193	2310.237094
194	2305.043024
195	2301.316797
196	2295.081787
197	2289.239956
198	2284.852792
199	2281.815106
200	2276.121864
201	2272.888316
202	2271.782432
203	2266.134768
204	2264.147543
205	2262.635053
206	2260.684886
207	2257.856611
208	2252.387346
209	2249.961913
210	2248.402826
211	2243.000288
212	2240.770877
213	2237.700162
214	2231.333595
215	2229.106047
216	2228.721677
217	2226.575555
218	2225.754184
219	2224.986888
220	2223.932472
221	2219.349223
222	2216.986883
223	2214.089435
224	2210.015507
225	2205.991377
226	2205.023045
227	2200.438226
228	2196.198249
229	2193.992666
230	2191.834047
231	2190.161644
232	2186.91457
233	2185.796437
234	2184.624744
235	2183.484719
236	2175.615423
237	2173.896344
238	2171.49545
239	2168.105645
240	2164.268582
241	2160.767132
242	2158.330392
243	2154.239611
244	2151.844826
245	2150.544727
246	2148.59387
247	2146.503389
248	2145.798589
249	2139.482701
250	2138.613981
251	2136.182732
252	2135.489442
253	2131.817175
254	2125.592028
255	2123.851919
256	2118.501841
257	2116.196384
258	2113.119563
259	2108.049649
260	2104.859275
261	2100.729962
262	2092.845727
263	2086.327785
264	2081.422575
265	2077.320644
266	2076.673633
267	2076.041233
268	2073.896524
269	2070.008194
270	2065.368923
271	2060.76792
272	2060.140154
273	2058.027389
274	2053.371493
275	2050.996743
276	2046.080571
277	2044.318182
278	2043.719807
279	2042.451389
280	2038.23594
281	2037.629697
282	2037.067848
283	2035.913234
284	2029.844027
285	2028.310826
286	2024.101203
287	2023.614427
288	2020.034872
289	2017.897652
290	2016.259075
291	2013.19084
292	2011.215233
293	2007.78163
294	2005.542689
295	2003.590392
296	2001.202497
297	2000.73588
298	2000.275975
299	1998.045089
300	1996.028327
301	1993.135878
302	1989.237824
303	1986.675342
304	1984.706037
305	1983.485416
306	1979.890494
307	1979.717867
308	1974.642971
309	1970.829852
310	1968.990009
311	1966.266483
312	1963.653587
313	1961.678224
314	1957.301535
315	1954.801397
316	1948.056729
317	1943.10927
318	1941.628645
319	1939.855045
320	1935.802451
321	1930.952064
322	1928.434478
323	1927.9978
324	1926.124041
325	1922.203948
326	1920.510181
327	1919.614568
328	1916.734963
329	1914.861461
330	1913.507944
331	1911.118038
332	1910.451077
333	1910.018115
334	1908.207723
335	1906.805384
336	1903.132656
337	1899.918854
338	1896.823804
339	1892.471257
340	1891.293166
341	1889.887269
342	1887.505728
343	1886.604958
344	1884.013557
345	1882.670228
346	1881.03842
347	1879.921234
348	1878.822193
349	1876.012619
350	1874.347791
351	1872.481974
352	1871.577392
353	1869.720316
354	1869.517092
355	1866.56113
356	1864.763328
357	1861.192016
358	1858.807695
359	1857.916128
360	1853.553377
361	1852.294635
362	1851.893092
363	1850.143887
