iter	Passed	Remaining
0	0	642
1	1	594
2	1	585
3	2	591
4	3	610
5	3	597
6	4	601
7	4	599
8	5	629
9	6	621
10	7	635
11	7	636
12	8	632
13	9	635
14	9	629
15	10	616
16	10	614
17	11	611
18	11	606
19	12	602
20	12	598
21	13	594
22	13	590
23	14	587
24	14	584
25	15	582
26	16	580
27	16	580
28	17	578
29	17	572
30	18	574
31	19	575
32	19	575
33	20	573
34	20	572
35	21	572
36	21	571
37	22	568
38	23	571
39	23	575
40	24	571
41	25	572
42	25	573
43	26	574
44	27	573
45	27	571
46	28	570
47	28	569
48	29	569
49	30	572
50	30	571
51	31	571
52	32	576
53	32	577
54	33	576
55	34	574
56	34	575
57	35	579
58	36	579
59	36	578
60	37	577
61	38	578
62	38	577
63	39	576
64	40	575
65	40	573
66	41	572
67	41	570
68	42	568
69	42	567
70	43	565
71	43	563
72	44	562
73	44	560
74	45	559
75	45	558
76	46	558
77	47	557
78	47	556
79	48	555
80	48	553
81	49	553
82	49	552
83	50	551
84	51	551
85	51	550
86	52	548
87	52	547
88	53	546
89	53	544
90	54	543
91	55	543
92	55	542
93	56	542
94	56	541
95	57	540
96	57	539
97	58	537
98	59	537
99	59	537
100	60	536
101	60	535
102	61	533
103	61	532
104	62	531
105	62	530
106	63	528
107	63	527
108	64	526
109	64	523
110	65	521
111	65	520
112	66	518
113	66	517
114	66	515
115	67	511
116	67	510
117	68	508
118	68	506
119	68	505
120	69	504
121	69	502
122	70	501
123	70	500
124	71	499
125	71	497
126	72	496
127	72	495
128	73	494
129	73	492
130	74	491
131	74	489
132	74	488
133	75	486
134	75	485
135	76	484
136	76	482
137	77	481
138	77	480
139	77	478
140	78	477
141	78	475
142	79	474
143	79	472
144	79	470
145	80	469
146	80	467
147	80	466
148	81	464
149	81	462
150	81	461
151	82	459
152	82	458
153	83	456
154	83	455
155	84	454
156	84	452
157	84	451
158	85	450
159	85	448
160	86	448
161	86	447
162	86	445
163	87	444
164	87	442
165	87	441
166	88	440
167	88	439
168	89	438
169	89	437
170	89	435
171	90	434
172	90	433
173	90	431
174	91	430
175	91	429
176	92	428
177	92	427
178	92	426
179	93	425
180	93	424
181	94	422
182	94	421
183	94	420
184	95	419
185	95	418
186	96	417
187	96	416
188	96	415
189	97	414
190	97	413
191	98	412
192	98	411
193	98	410
194	99	409
195	99	408
196	99	407
197	100	406
198	100	405
199	101	404
200	101	403
201	101	402
202	102	401
203	102	400
204	103	400
205	103	399
206	103	398
207	104	397
208	104	396
209	105	395
210	105	394
211	106	394
212	106	393
213	106	392
214	107	391
215	107	390
216	107	389
217	108	388
218	108	387
219	109	386
220	109	386
221	109	385
222	110	384
223	110	383
224	111	382
225	111	381
226	111	380
227	112	380
228	112	379
229	113	378
230	113	378
231	114	377
232	114	377
233	114	376
234	115	375
235	115	374
236	116	373
237	116	373
238	116	372
239	117	371
240	117	371
241	118	370
242	118	369
243	119	369
244	119	368
245	119	367
246	120	366
247	120	366
248	121	365
249	121	364
250	121	363
251	122	363
252	122	362
253	123	361
254	123	360
255	123	359
256	124	359
257	124	358
258	125	358
259	125	357
260	126	356
261	126	356
262	126	355
263	127	355
264	127	354
265	128	353
266	128	352
267	128	352
268	129	351
269	129	350
270	130	350
271	130	349
272	131	348
273	131	348
274	131	347
275	132	346
276	132	345
277	132	345
278	133	344
279	133	343
280	134	343
281	134	342
282	134	341
283	135	340
284	135	340
285	136	339
286	136	338
287	136	338
288	137	337
289	137	336
290	137	336
291	138	335
292	138	334
293	139	334
294	139	333
295	139	332
296	140	332
297	140	331
298	141	330
299	141	330
300	141	329
301	142	328
302	142	328
303	142	327
304	143	326
305	143	325
306	144	325
307	144	324
308	144	324
309	145	323
310	145	322
311	146	322
312	146	321
313	146	320
314	147	320
315	147	319
316	147	318
317	148	318
318	148	317
319	149	316
320	149	316
321	149	315
322	150	314
323	150	314
324	151	313
325	151	313
326	151	312
327	152	312
328	152	311
329	153	311
330	153	310
331	154	310
332	154	309
333	155	309
334	155	308
335	155	308
336	156	307
337	156	306
338	157	306
339	157	305
340	157	305
341	158	304
342	158	304
343	159	303
344	159	303
345	160	302
346	160	301
347	160	301
348	161	301
349	162	301
350	162	301
351	163	300
352	163	300
353	164	299
354	164	298
355	164	298
356	165	298
357	165	297
358	166	296
359	166	296
360	167	295
361	167	295
362	168	294
363	168	294
364	168	293
365	169	293
366	169	292
367	170	292
368	170	291
369	170	290
370	171	290
371	171	289
372	172	289
373	172	288
374	172	288
375	173	287
376	173	286
377	174	286
378	175	287
379	175	286
380	176	285
381	176	285
382	176	284
383	177	284
384	177	283
385	178	283
386	178	282
387	179	282
388	179	281
389	179	281
390	180	280
391	180	280
392	181	279
393	181	279
394	181	278
395	182	278
396	182	277
397	183	276
398	183	276
399	183	275
400	184	275
401	184	274
402	185	274
403	185	273
404	185	273
405	186	272
406	186	271
407	187	271
408	187	270
409	187	270
410	188	269
411	188	269
412	189	269
413	190	268
414	190	268
415	190	267
416	191	267
417	191	267
418	192	266
419	192	266
420	193	266
421	193	265
422	194	264
423	194	264
424	195	263
425	195	263
426	196	263
427	196	262
428	196	261
429	197	261
430	197	260
431	198	260
432	198	259
433	198	259
434	199	258
435	199	258
436	200	257
437	200	257
438	201	256
439	201	256
440	202	256
441	202	255
442	202	255
443	203	254
444	203	254
445	204	253
446	204	253
447	204	252
448	205	251
449	205	251
450	206	250
451	206	250
452	206	249
453	207	249
454	207	248
455	208	248
456	208	247
457	209	247
458	209	246
459	209	246
460	210	245
461	210	245
462	211	244
463	211	244
464	211	243
465	212	243
466	212	242
467	213	242
468	213	241
469	214	241
470	214	240
471	214	240
472	215	239
473	215	239
474	216	238
475	216	238
476	216	237
477	217	237
